,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
2679,الذكاء الاصطناعي,https://www.udemy.com/course/artificial-intelligence-course/,53,17,1.0,6/2021,Arabic,1.0,0.0,69.9,1.0,8.0,24.0,6h 5m,BRADFORD-JO Academy,488,48.0,4.6,,,,,0.0,0.0,0.0,4.5
2680,Árbol de decisiones para machine learning en python.,https://www.udemy.com/course/arboles-de-desiciones-para-machine-learning-en-pyton/,69,17,1.0,12/2020,Spanish,1.0,0.0,69.9,1.0,1.0,14.0,1h 47m,Cesar Estrada,789,4.0,4.2,,,,,0.0,0.0,0.0,3.9
2681,深度学习-Tensorflow实战系列,https://www.udemy.com/course/tyd-tensorflow/,154,16,1.0,3/2018,Simplified Chinese,2.0,0.0,69.9,1.0,10.0,42.0,9h 43m,唐宇迪 唐,"4,103",25.0,4.4,,,,,0.0,0.0,0.0,4.0
2682,Машинное обучение: регрессия и предсказание данных на Python,https://www.udemy.com/course/ittensive-python-machine-learning-linear-regression/,154,16,1.0,6/2021,Russian,1.0,0.0,69.9,1.0,8.0,37.0,7h 17m,Центр digital-профессий ITtensive,"2,298",22.0,4.0,,,,,1.0,0.0,0.0,4.0
2683,Visualização da Dados Python e R: Data Science na Prática,https://www.udemy.com/course/visualizacao-da-dados-python-e-r-data-science-na-pratica/,270,16,2.0,3/2020,Portuguese,1.0,1.0,69.9,1.0,3.0,36.0,5h 54m,MSc Grimaldo Lopes | + 45.000 alunos de Oliveira,"47,600",166.0,4.4,"Diego Mariano, Ph.D.","704,752",36.0,4.6,0.0,0.0,0.0,4.2
2684,Машинное обучение на Python. Метод линейной регрессии,https://www.udemy.com/course/pyqt5-bi/,86,16,2.0,10/2018,Russian,1.0,0.0,69.9,1.0,1.0,8.0,1h 34m,"Группа преподавателей Центра ""Специалист"" при МГТУ им. Баумана",769,9.0,4.2,Владислав Перлин,201,3.0,4.1,0.0,0.0,0.0,3.9
2685,【한글자막】 스파크 스트리밍과 Scala 로 빅 데이터 스트리밍하기 (실전편),https://www.udemy.com/course/best-scala/,109,16,4.0,1/2022,Korean,1.0,1.0,69.9,1.0,9.0,37.0,6h 25m,Sundog Education by Frank Kane,"687,985",33.0,4.5,Frank Kane,"636,853",26.0,4.6,0.0,0.0,0.0,5.0
2686,Prática Guiada - Titanic no Kaggle,https://www.udemy.com/course/pratica-guiada-titanic-no-kaggle/,97,16,1.0,10/2020,Portuguese,1.0,1.0,69.9,1.0,5.0,10.0,1h 19m,TecMorpheus Hypnos,751,3.0,4.6,,,,,0.0,0.0,0.0,4.6
2687,Prédiction des séries temporelles en deep learning - Partie1,https://www.udemy.com/course/modeles-avances-des-series-temporelles-avec-keras-partie-1/,158,16,1.0,8/2021,French,1.0,1.0,69.9,1.0,6.0,58.0,7h 17m,Alexandre Bourrieau,606,10.0,4.5,,,,,0.0,0.0,0.0,4.6
2688,【한글자막】 Python 을 사용한 데이터 시각화,https://www.udemy.com/course/best-python-data-visualization/,529,16,4.0,12/2021,Korean,1.0,1.0,69.9,1.0,7.0,49.0,4h 27m,Jordan Sauchuk,"264,560",7.0,4.4,Ligency Team,"2,262,027",104.0,4.6,1.0,0.0,0.0,4.9
2689,Introduzione all'Intelligenza Artificiale,https://www.udemy.com/course/introduzione-allintelligenza-artificiale/,75,15,1.0,5/2022,Italian,1.0,1.0,69.9,1.0,5.0,23.0,3h 15m,Maria Lanzara,75,1.0,3.7,,,,,0.0,0.0,0.0,3.7
2690,Welcome2KI Teil 3: KI Deep Learning Projekte selbst umsetzen,https://www.udemy.com/course/welcome2ki-teil-3-ki-deep-learning-projekte-selbst-umsetzen/,133,15,1.0,5/2021,German,1.0,1.0,69.9,1.0,10.0,69.0,7h 49m,Bernhard Mayr,488,10.0,4.0,,,,,1.0,1.0,0.0,4.7
2691,Python: Visualización de Datos con Matplotlib (Básico),https://www.udemy.com/course/python-visualizacion-de-datos-con-matplotlib-basico/,"1,727",15,1.0,6/2022,Spanish,1.0,1.0,69.9,1.0,1.0,10.0,49m total,Camilo Medina,"9,925",8.0,4.4,,,,,0.0,0.0,0.0,3.9
2692,習うより慣れよう Visual AI さわって覚える人工知能「ディープラーニング編」,https://www.udemy.com/course/visual-ai-deep-learning/,162,15,1.0,8/2022,Japanese,1.0,1.0,69.9,1.0,,,,内山 充康,"3,081",9.0,4.0,,,,,0.0,0.0,0.0,3.9
2693,Visualização de dados com Python,https://www.udemy.com/course/visualizacao-dados-python/,98,16,1.0,3/2022,Portuguese,1.0,1.0,69.9,0.0,,,,Beta Analítica,98,1.0,5.0,,,,,0.0,0.0,0.0,5.0
2694,Kaggle - Veri Bilimi Alanında Daha İyi Bir Profil Oluşturun,https://www.udemy.com/course/kaggle-veri-bilimi-alannda-daha-iyi-bir-profil-olusturun/,72,15,2.0,1/2023,Turkish,1.0,0.0,69.9,1.0,8.0,19.0,2h 55m,Oak Academy,"282,153",257.0,4.5,OAK Academy Team,"347,570",276.0,4.5,1.0,0.0,0.0,5.0
2695,Introducción a los Algoritmos Heurísticos,https://www.udemy.com/course/introduccion-a-los-algoritmos-heuristicos/,164,14,1.0,4/2019,Spanish,1.0,0.0,69.9,1.0,9.0,32.0,1h 18m,Carlos Antonio Macías Duarte,"3,658",2.0,4.5,,,,,0.0,0.0,0.0,4.4
2696,Python-深度学习-物体检测实战,https://www.udemy.com/course/maskrcnn/,124,14,1.0,1/2020,Simplified Chinese,2.0,0.0,69.9,1.0,6.0,41.0,6h 24m,唐宇迪 唐,"4,103",25.0,4.4,,,,,0.0,0.0,0.0,3.9
2697,"Python w Data Science - NumPy, Pandas & Scikit-Learn",https://www.udemy.com/course/python-data-science-numpy-pandas-scikit-learn/,359,14,1.0,8/2022,Polish,1.0,0.0,69.9,1.0,,,,Paweł Krakowiak,"260,005",87.0,4.5,,,,,0.0,1.0,0.0,5.0
2698,【한글자막】 현대 인공지능 (AI) 마스터 클래스 : 6개의 프로젝트 구축하기,https://www.udemy.com/course/best-modern-ai/,316,14,5.0,12/2021,Korean,1.0,1.0,69.9,1.0,8.0,90.0,15h 47m,"Dr. Ryan Ahmed, Ph.D., MBA","324,384",46.0,4.5,Ligency I Team,"2,318,877",148.0,4.6,0.0,0.0,0.0,5.0
2699,Pack Complet data Analyse avec Excel & Python 2023,https://www.udemy.com/course/pack-complet-data-analyse-avec-excel-python-2022/,121,15,2.0,1/2023,French,1.0,1.0,179.9,1.0,6.0,139.0,11h 18m,Ing.Seif | Europe Innovation,"15,564",19.0,4.4,Dr. Firas | Europe Innovation,"28,588",45.0,4.3,1.0,0.0,0.0,4.1
2700,强化学习实战系列(PyTorch版),https://www.udemy.com/course/rlirpcin/,151,14,1.0,9/2020,Simplified Chinese,2.0,0.0,69.9,1.0,11.0,89.0,10h 28m,唐宇迪 唐,"4,103",25.0,4.4,,,,,0.0,0.0,0.0,4.4
2701,Data Mining without coding ~ Visual Programing ~ Orange3,https://www.udemy.com/course/vpt-orange3/,78,14,1.0,12/2022,Traditional Chinese,2.0,0.0,69.9,1.0,5.0,14.0,4h 58m,Squall Wu,78,1.0,4.6,,,,,0.0,0.0,0.0,4.6
2702,Google Data Studio. Анализ данных. Data Visualization.,https://www.udemy.com/course/google-data-studio-ru/,65,14,1.0,11/2022,Russian,1.0,0.0,69.9,1.0,5.0,27.0,53m total,Andrew Borysenko,"25,839",41.0,3.3,,,,,0.0,0.0,0.0,3.3
2703,【文部科学大臣表彰の工学博士が指導】Pythonで体系的に学ぶデータサイエンスとAIの初歩 Vol.1 暗号・関数と微分,https://www.udemy.com/course/pythonai-vol1/,193,14,1.0,11/2022,Japanese,1.0,1.0,69.9,1.0,64.0,115.0,10h 26m,平山 雄三,743,12.0,4.4,,,,,0.0,0.0,0.0,4.7
2704,SQL- Formation complète de A à Z sous MySQL,https://www.udemy.com/course/sql-formation-complete-sous-mysql/,219,14,1.0,11/2021,French,1.0,1.0,69.9,1.0,7.0,94.0,10h 32m,Ahmed Bentajer,"3,511",3.0,4.3,,,,,0.0,0.0,0.0,4.5
2705,Gerando Arquivos PDF com Python e ReportLab 2023,https://www.udemy.com/course/gerando-arquivos-pdf-com-python-e-reportlab/,433,14,1.0,8/2021,Portuguese,1.0,1.0,69.9,1.0,1.0,6.0,1h 51m,Hugo Ferro,"1,421",10.0,4.7,,,,,0.0,0.0,0.0,4.9
2706,PythonではじめるSQL入門〜ゼロからはじめてウィンドウ関数まで〜,https://www.udemy.com/course/pythonsql/,106,13,1.0,9/2021,Japanese,1.0,1.0,69.9,1.0,8.0,38.0,2h 3m,西 潤史郎,106,1.0,3.8,,,,,0.0,0.0,0.0,3.8
2707,Fundamentos de MLOps (Machine Learning Operations) Hands On,https://www.udemy.com/course/fundamentos-de-mlops-machine-learning-operations-hands-on/,35,13,1.0,1/2023,Spanish,1.0,1.0,69.9,1.0,11.0,32.0,2h 51m,Data Bootcamp,"11,207",29.0,4.2,,,,,0.0,0.0,0.0,3.6
2708,Surpac Sıfırdan Cevher Modelleme/ Ore Modelling using Surpac,https://www.udemy.com/course/surpac-sfrdan-cevher-modelleme-ore-modelling-using-surpac/,34,13,1.0,11/2021,Turkish,1.0,0.0,349.9,0.0,1.0,13.0,2h 0m,Halil Şahin,34,1.0,4.2,,,,,0.0,0.0,0.0,4.2
2709,Álgebra Linear com R para Machine Learning e Modelagens,https://www.udemy.com/course/algebra-linear-com-r-para-machine-learning-e-modelagens/,101,13,1.0,1/2022,Portuguese,1.0,1.0,69.9,1.0,7.0,57.0,12h 57m,Luciano Galdino,"6,980",15.0,4.8,,,,,0.0,0.0,0.0,4.8
2710,六小時學會資料科學,https://www.udemy.com/course/ywfszkyr/,84,13,1.0,8/2021,Traditional Chinese,2.0,0.0,69.9,1.0,7.0,26.0,6h 44m,Cheng-Yuan Ho,284,6.0,4.2,,,,,0.0,0.0,0.0,3.9
2711,Machine Learning: Clusterização com Linguagem Python,https://www.udemy.com/course/machine-learning-clusterizacao-com-python/,195,14,1.0,6/2022,Portuguese,1.0,0.0,69.9,1.0,4.0,31.0,6h 42m,Caio Avelino,"6,782",5.0,4.7,,,,,0.0,0.0,0.0,4.4
2712,"R言語によるデータサイエンス【データ操作, 最短習得コース】 (2021, tidyverse+α, 基礎+応用)",https://www.udemy.com/course/r-datascience-2021-tidyverse/,139,13,1.0,5/2021,Japanese,1.0,0.0,69.9,1.0,14.0,126.0,5h 4m,Ringa hyj,181,2.0,3.6,,,,,0.0,0.0,0.0,3.7
2713,Bootcamp Lengkap Data Science 2022,https://www.udemy.com/course/bootcamp-lengkap-data-science-2022/,63,13,1.0,7/2022,Indonesian,1.0,0.0,69.9,1.0,51.0,308.0,28h 37m,Aditya Putri Pertiwi,63,1.0,3.6,,,,,0.0,0.0,0.0,3.6
