,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
12,Inteligência Artificial: Busca Tabu com Python,https://www.udemy.com/course/inteligencia-artificial-busca-tabu/,165,50,1,3/2018,Portuguese,1,1,69.90,1,4,23,1h 3m,Marcos Castro,"332,107",34,4.2,null,null,null,null,0,0,0,4.1
13,130+ Ćwiczeń w języku Python - Data Science - Pandas,https://www.udemy.com/course/cwiczenia-jezyk-python-data-science-pandas/,379,49,1,8/2022,Polish,1,0,69.90,1,18,141,50m total,Paweł Krakowiak,"260,005",87,4.5,null,null,null,null,0,1,0,4.7
14,Curso de Excel Básico,https://www.udemy.com/course/excel-basico-t/,"1,124",49,1,4/2022,Spanish,1,1,69.90,1,5,33,1h 54m,Camilo Medina,"9,925",8,4.4,null,null,null,null,0,0,0,4.7
15,Bootcamp Avanzado MLOps |Machine Learning Operation Hands-on,https://www.udemy.com/course/bootcamp-de-mlops-machine-learning-operations-hands-on/,253,53,1,2/2023,Spanish,1,1,69.90,1,18,67,6h 17m,Data Bootcamp,"11,207",29,4.2,null,null,null,null,0,0,0,4.2
16,Inteligencia Artificial: Redes neuronales artificiales,https://www.udemy.com/course/inteligencia-artificial-aprendizaje-profundo/,219,48,1,5/2020,Spanish,1,1,69.90,1,6,16,4h 47m,Luis Esteban,"1,276",3,4.1,null,null,null,null,0,0,0,4.2
17,Lógica Fuzzy com Python: O Guia para Iniciantes,https://www.udemy.com/course/logica-fuzzy-com-python-o-guia-para-iniciantes/,530,48,3,6/2022,Portuguese,1,1,69.90,1,5,39,4h 58m,Jones Granatyr,"166,599",91,4.7,Eduardo Alexandre Franciscon,"1,032",2,4.7,0,0,0,4.9
18,【TensorFlow.js入門】JavaScriptでディープラーニング・AI アプリ開発にチャレンジ！,https://www.udemy.com/course/tensorflowjs_intro/,354,48,1,12/2018,Japanese,1,0,69.90,1,3,17,54m total,井上 博樹 (Hiroki Inoue),"118,690",34,4.0,null,null,null,null,0,0,0,3.8
19,Prérequis MACHINE LEARNING — Python | Numpy | Mathématiques,https://www.udemy.com/course/prerequis-ml-dl-indispensables/,386,49,1,12/2021,French,1,1,179.90,1,6,29,10h 20m,Rémi Connesson | Python - Data Science - Machine Learning - Deep Learning,"5,070",7,4.6,null,null,null,null,0,0,0,4.7
20,Data Science et Machine Learning en Python,https://www.udemy.com/course/data-science-et-machine-learning-en-python/,228,50,1,9/2022,French,1,1,179.90,1,16,180,27h 20m,Dr. Mohammed MASTAFI,"4,076",9,4.4,null,null,null,null,0,0,0,4.6
21,Python金融分析与量化交易实战,https://www.udemy.com/course/python-jr/,479,50,1,4/2020,Simplified Chinese,2,0,69.90,1,20,173,26h 3m,唐宇迪 唐,"4,103",25,4.4,null,null,null,null,0,0,0,4.9
22,Practical Machine Learning for Data Scientists,https://www.udemy.com/course/practical-machine-learning-for-data-scientists/,"1,318",50,1,8/2022,Arabic,1,0,69.90,1,7,62,13h 39m,Coursat.ai Dr. Ahmad ElSallab,"2,782",7,4.6,null,null,null,null,0,0,0,4.7
23,Python ile Veri Bilimi & Makine Öğrenmesi Projeleri A-Z™,https://www.udemy.com/course/python-ile-veri-bilimi-makine-ogrenmesi-projeleri-a-ztm/,669,47,1,2/2023,Turkish,1,0,179.90,1,7,82,10h 18m,DATAI TEAM,"108,153",20,4.5,null,null,null,null,0,0,0,4.7
24,Mineração e Análise de Dados do LinkedIn,https://www.udemy.com/course/mineracao-e-analise-de-dados-do-linkedin/,643,46,2,1/2021,Portuguese,1,1,69.90,1,6,65,7h 20m,Jones Granatyr,"166,599",91,4.7,IA Expert Academy,"159,208",90,4.7,0,0,0,4.5
25,Hızlandırılmış 5 Saatlik Pandas ve Python ile Veri Analizi,https://www.udemy.com/course/pandas-ve-python-ile-veri-analizi/,549,46,1,4/2020,Turkish,1,0,69.90,1,6,62,5h 13m,Simple Academy,"6,796",3,4.5,null,null,null,null,0,0,0,4.7
26,医師が教えるR言語での医療データ分析入門 -発展編(アプリ)：Shinyを利用して分析結果をアプリで共有しよう！,https://www.udemy.com/course/r-for-meds-shiny-application/,352,46,1,10/2020,Japanese,1,1,89.90,0,7,107,6h 55m,Norimitsu Nishida,"4,292",6,4.5,null,null,null,null,0,0,0,4.6
27,【한글자막】 R 프로그래밍 A-Z™: 직접 코딩하며 배우는 R 프로그래밍 !,https://www.udemy.com/course/best-r-coding/,262,45,3,12/2021,Korean,1,11,69.90,1,8,82,10h 38m,Kirill Eremenko,"2,311,370",59,4.5,Ligency Team,"2,262,027",104,4.6,1,0,0,4.5
28,【한글자막】 Python : 통계 분석을 위한 파이썬,https://www.udemy.com/course/best-python-statistics/,418,45,4,12/2021,Korean,1,1,69.90,1,6,56,8h 38m,Samuel Hinton,"89,524",4,4.5,Ligency I Team,"2,318,877",148,4.6,0,0,0,4.4
29,Classificação de Áudio com Python: O Guia Completo,https://www.udemy.com/course/classificacao-de-audio-com-python-guia-completo/,661,46,3,6/2022,Portuguese,1,1,69.90,1,10,93,12h 15m,Jones Granatyr,"166,599",91,4.7,Dalton Luiz Vargas,"4,960",6,4.7,0,0,0,4.7
30,R Crashkurs - Einstieg in R Sprache & RStudio für Anfänger,https://www.udemy.com/course/r-crash-kurs-einstieg-in-r-sprache-rstudio-fur-anfanger/,"3,168",45,2,12/2020,German,1,1,105.90,1,6,29,2h 34m,Georg Müller,"41,765",10,4.1,Kate Alison,"81,831",34,4.2,1,0,0,3.6
31,Statistik für Data Science und Business Analytics,https://www.udemy.com/course/statistik-fur-data-science-und-business-analytics/,651,46,2,7/2020,German,1,1,69.90,1,12,67,3h 23m,365 Careers,"2,247,835",91,4.5,365 Iliya Valchanov,"1,159,968",8,4.6,1,0,0,4.6
32,Construye tu primer red neuronal en menos de 1 hora!!,https://www.udemy.com/course/construye-tu-primer-red-neuronal-en-menos-de-1-hora/,120,45,1,7/2019,Spanish,1,1,69.90,1,3,18,41m total,Cesar Estrada,789,4,4.2,null,null,null,null,0,0,0,4.4
33,"Deep Learning: Classification des Images (TensorFlow, Keras)",https://www.udemy.com/course/deep-learning-classification-des-images-tensorflow-keras/,"1,597",46,1,1/2021,French,1,1,69.90,1,5,19,1h 1m,"Dan • 50,000+ Students Worldwide","44,625",15,3.8,null,null,null,null,0,0,0,4.4
34,Aprende R: Curso de Introducción a Data Science,https://www.udemy.com/course/aprende-r/,164,45,1,4/2019,Spanish,1,1,69.90,1,7,39,6h 18m,Erik McDonald,164,1,4.1,null,null,null,null,1,0,0,4.1
35,"Excel 0'dan İleri Düzeye (formüller,tablolama, programlama)",https://www.udemy.com/course/0dan-ileri-duzey-excel-formullertablolama-vbauserform/,145,44,1,1/2021,Turkish,1,0,69.90,1,6,24,11h 36m,Buğra Özbey,145,1,4.4,null,null,null,null,0,0,0,4.4
36,TensorFlow 2.0: 关于全新TensorFlow的完整指南,https://www.udemy.com/course/tensorflow-chinese/,281,44,3,10/2019,Simplified Chinese,2,1,69.90,1,17,128,12h 59m,Hadelin de Ponteves,"1,672,284",42,4.5,Ligency I Team,"2,318,877",148,4.6,1,0,0,4.4
37,【한글자막】 인공 지능 (AI) 으로 비즈니스 해결하기,https://www.udemy.com/course/best-ai-business/,359,44,4,1/2022,Korean,1,6,69.90,1,18,118,15h 3m,Hadelin de Ponteves,"1,672,284",42,4.5,Kirill Eremenko,"2,311,370",59,4.5,0,0,0,4.8
38,Data Science con Python – Visualización Matplotlib & Seaborn,https://www.udemy.com/course/data-science-con-python-visualizacion-matplotlib-seaborn/,243,44,1,1/2023,Spanish,1,1,209.90,1,9,55,4h 4m,Ivan Pinar Domínguez,"44,237",28,4.5,null,null,null,null,1,0,0,4.4
